Unique ID,Original Value,Match,New Value,Similarity Score
1974,Duna Aszfalt Építő Zártkörűen Működő Részvénytársaság,Duna Aszfalt Út És Mélyépítő Zártkörűen Működő Részvénytársaság,Duna Aszfalt Építő Zártkörűen Működő Részvénytársaság,0.7623189291360793
1306,Víztec Magyarország Kft.,Víztec Zrt.,Víztec Magyarország Kft.,0.7006536094044817
532,"New Land Media Reklám, Szolgáltató És Kereskedelmi Korlátolt Felelősségű Társaság","New Land Media Reklám, Szolgáltató És Kereskedelmi Kft.","New Land Media Reklám, Szolgáltató És Kereskedelmi Korlátolt Felelősségű Társaság",0.9661139150853048
1874,Biomarker Kereskedelmi És Szolgáltató Kft.,Biomarker Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,Biomarker Kereskedelmi És Szolgáltató Kft.,0.8987736235474911
238,Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,Rk Tech Kereskedelmi És Szolgáltató Kft.,Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,0.9318760582587037
1462,Rk Tech Kft.,Rk Tech Kereskedelmi És Szolgáltató Kft.,Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,0.9314326092991143
1156,Biotech Hungary Kft.,"Biotech Hungary Kereskedelmi, Szolgáltató És Tanácsadó Korlátolt Felelősségű Társaság",Biotech Hungary Kft.,0.7657515136308816
1544,Halker Élelmiszer És Iparcikk Kereskedelmi Korlátolt Felelősségű Tárrsaság,Halker Élelmiszer És Iparcikk Kereskedelmi Korlátolt Felelősségű Társaság,Halker Élelmiszer És Iparcikk Kereskedelmi Korlátolt Felelősségű Tárrsaság,0.8461629202378945
772,Főmterv Zrt.,Főmterv Mérnöki Tervező Zrt.,Főmterv Zrt.,0.7584388994537816
1462,Rk Tech Kft.,Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,0.8628325435113617
449,Premier G. Med Cardio Kft.,Premier G. Med Kft.,Premier G. Med Cardio Kft.,0.8005999680572221
1875,BioScience Kft.,BioScience Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,BioScience Kft.,0.7780483862079499
1390,I.T.A. Life Science Kft.,Merck Life Science Kft.,I.T.A. Life Science Kft.,0.8215448118668952
1884,Greiner BioOne Hungary Kft,Greiner BioOne Hungary Műanyagtechnika Kft.,Greiner BioOne Hungary Kft,0.8304947624883143
1893,Vwr International Kft,Vwr International Korlátolt Felelősségű Társaság,Vwr International Kft,0.9251675433790274
757,Strabag Általános Építő Korlátolt Felelősségű Társaság,Strabag Építő Korlátolt Felelősségű Társaság,Strabag Általános Építő Korlátolt Felelősségű Társaság,0.8023533042586176
492,Quantum Kft.,Quantum Kereskedelmi És Szolgáltató Kft.,Quantum Kft.,0.8869206442223291
1326,Allied Water Solutions Cee Kft.,Allied Solutions Cee Kft.,Allied Water Solutions Cee Kft.,0.8448631224759576
1029,"Mészáros És Mészáros Ipari, Kereskedelmi És Szolgáltató Zártkörűen Működő Részvénytársaság","Mészáros És Mészáros Ipari, Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság","Mészáros És Mészáros Ipari, Kereskedelmi És Szolgáltató Zártkörűen Működő Részvénytársaság",0.902173128784834
1304,ParkfenntartóKertészeti És Szolgáltató Korlátolt Felelősségű Társaság,ParkfenntartóKertészeti És Szolgáltató Korlátolt Felelősségű Társaság.,ParkfenntartóKertészeti És Szolgáltató Korlátolt Felelősségű Társaság,0.9999999999999998
1854,Belovecz És Társa Hús És Hentesáru Kereskedelmi Kft.,Belovecz És Társa Hús És Hentesáru Kereskedelmi Korlátolt Felelősségű Társaság,Belovecz És Társa Hús És Hentesáru Kereskedelmi Kft.,0.9644843738095126
1331,P2M Informatika Szolgáltató Korlátolt Felelősségű Társaság,P2M Informatika Szolgáltató Kft.,P2M Informatika Szolgáltató Korlátolt Felelősségű Társaság,0.9196209611667449
1597,Moonlight Event Szolgáltató Rendezvényszervező Kft,Moonlight Event Szolgáltató Rendezvényszervező Kft.,Moonlight Event Szolgáltató Rendezvényszervező Kft,0.9999999999999996
880,Speciálterv Építőmérnöki Kft.,Speciálterv Építőmérnöki Korlátolt Felelősségű Társaság,Speciálterv Építőmérnöki Kft.,0.9329967203907347
1717,Atryum Invest Építőipari És Kereskedelmi Korlátolt Felelősségú Társaság,Atryum Invest Korlátolt Felelősségú Társaság,Atryum Invest Építőipari És Kereskedelmi Korlátolt Felelősségú Társaság,0.9370320320739343
1800,Digital Számítástechnikai Kereskedelmi És Szolgáltató Kft.,Digital Számítástechnikai Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,Digital Számítástechnikai Kereskedelmi És Szolgáltató Kft.,0.9245382602716312
1799,Humanoit Informatikai Kft.,Humanoit Informatikai Korlátolt Felelősségű Társaság,Humanoit Informatikai Kft.,0.9118055467355439
1797,Sysman Informatikai Zrt.,Sysman Informatikai Zártkörűen Működő Részvénytársaság,Sysman Informatikai Zrt.,0.725306231775331
1352,Erfo Rehabilitációs Foglalkoztató Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Főkefe Rehabilitációs Foglalkoztató Ipari Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Erfo Rehabilitációs Foglalkoztató Közhasznú Nonprofit Korlátolt Felelősségű Társaság,0.7219077549994812
1881,ForrLab Kft.,ForrLab Kereskedelmi És Szolgáltató Kft.,ForrLab Kft.,0.8940315624657035
