Unique ID,Original Value,New Value,Similarity Score
821,I. Számú Gondozási Központ ,Iii. Számú Gondozási Központ ,0.8095895739101147
1254,Székesfehérvár Megyei Jogú Város Polgármesteri Hivatal ,Székesfehérvár Megyei Jogú Város Önkormányzata ,0.8033209661611784
1646,Szeged Megyei Jogú Város Polgármesteri Hivatal ,Szeged Megyei Jogú Város Önkormányzata ,0.8003940809389972
2480,Szegedi Kistérség Többcélú Társulása ,Szegedi Kistérség Többcélú Társulása Egyesített Szociális Intézmény ,0.8103776789473373
4466,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat Gazdasági Ellátó Szolgálat ,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat ,0.801842687953543
4475,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat Hegyvidéki Egészségügyi Központ ,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat ,0.8884373217797007
4479,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat Hegyvidéki Szociális Központ ,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat ,0.8957419424444678
4845,Belügyminisztérium Országos Katasztrófavédelmi Főigazgatóság Gazdasági Ellátó Központ ,Belügyminisztérium Országos Katasztrófavédelmi Főigazgatóság ,0.8269519239143569
5796,Csillagászati És Földtudományi Kutatóközpont ,Mta Csillagászati És Földtudományi Kutatóközpont ,0.8773398157033504
6190,Fejér Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fejér Megyei Gyermekvédelmi Központ ,0.7991156031025883
6194,Baranya Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8310838749999937
6198,Jásznagykunszolnok Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8348394214207375
6204,Nógrád Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8296206468670363
6213,Pest Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8359246303924762
6223,Heves Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8336784674258759
6226,"Somogy Megyei Gyermekvédelmi Központ, Általános Iskola És Területi Gyermekvédelmi Szakszolgálat ","Vas Megyei Gyermekvédelmi Központ, Általános Iskola És Területi Gyermekvédelmi Szakszolgálat ",0.8690175603451517
6233,Emberi Erőforrások Minisztériuma Debreceni Javítóintézete ,Emberi Erőforrások Minisztériuma Nagykanizsai Javítóintézete ,0.8399360656193093
6237,Borsodabaújzemplén Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Borsodabaújzemplén Megyei Gyermekvédelmi Központ ,0.8010553966499421
6252,Zala Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8348394214207375
6253,Tolna Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8296206468670363
6259,Komáromesztergom Megyei Gyermekvédelmi Központ Területi Gyermekvédelmi Szakszolgálat És Általános Iskola ,Komáromesztergom Megyei Gyermekvédelmi Központ És Általános Iskola ,0.8417453736012575
6263,"Békés Megyei Szociális, Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ",Békés Megyei Szociális És Gyermekvédelmi Központ ,0.8237032988484456
6265,Emberi Erőforrások Minisztériuma Budapesti Javítóintézete ,Emberi Erőforrások Minisztériuma Nagykanizsai Javítóintézete ,0.8413731151817488
6272,Bácskiskun Megyei Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,Fővárosi Gyermekvédelmi Központ És Területi Gyermekvédelmi Szakszolgálat ,0.8324310138060185
6504,Evin Erzsébetvárosi Ingatlangazdálkodási Nonprofit Zrt.,Erzsébetvárosi Ingatlangazdálkodási Nonprofit Zrt.,0.8061924156381733
6684,Debrecen Megyei Jogú Város Polgármesteri Hivatal ,Debrecen Megyei Jogú Város Önkormányzata ,0.8003940809389972
7126,Kísérleti Orvostudományi Kutatóintézet ,Mta Kísérleti Orvostudományi Kutatóintézet ,0.8710393748174847
7127,Közgazdaság És Regionális Tudományi Kutatóközpont ,Magyar Tudományos Akadémia Közgazdaság És Regionális Tudományi Kutatóközpont ,0.830175943428018
7642,Fővárosi Csatornázási Művek Mélyépítő És Karbantartó Kft.,Fővárosi Csatornázási Művek Mélyépítő Kft.,0.8770581553294666
7654,Zalaegerszegi Belvárosi Ii. Számú Óvoda ,Zalaegerszegi Belvárosi I. Számú Óvoda ,0.8922529604125351
8093,Törökbálint Város Önkormányzata ,Törökbálint Város Önkormányzat ,0.9108820491446192
8209,Harkányi Termál Rehabilitációs Centrum Közhasznú Nonprofit Kft.,Harkányi Termál Rehabilitációs Centrum Nonprofit Kft.,0.954336218640319
9244,Balatonfüred Kézilabda Sportjáért Közhasznú Alapítvány ,Balatonfüred Város Sportjáért Közhasznú Alapítvány ,0.8530732440515079
10419,Budapest Főváros Xii. Kerület Hegyvidéki Polgármesteri Hivatal ,Budapest Főváros Xii. Kerület Hegyvidéki Önkormányzat ,0.8493910433099313
10492,Petz Aladár Egyetemi Oktató Kórház ,Petz Aladár Megyei Oktató Kórház ,0.8768533677757576
11792,Kazincbarcikai Kórház ,Kazincbarcikai Kórház Nonprofit Kft.,0.9085334549986802
12690,Energiatudományi Kutatóközpont ,Mta Energiatudományi Kutatóközpont ,0.8142371748620579
15042,Budapest Főváros Xiii. Kerületi Önkormányzat Szociális Központ ,Budapest Főváros Xiii. Kerületi Önkormányzat ,0.8931000084382541
15461,Móra Ferenc Városi Könyvtár És Múzeum ,Móra Ferenc Múzeum ,0.8244762510522781
15482,Budafoktétény Budapest Xxii. Kerület Önkormányzata Polgármesteri Hivatal ,Budafoktétény Budapest Xxii. Kerület Önkormányzata ,0.882226658698254
18852,Gazdasági Műszaki Ellátó Szervezet ,Balassagyarmati Gazdasági Műszaki Ellátó Szervezet ,0.847308831437026
19599,Eszterházy Károly Katolikus Egyetem ,Eszterházy Károly Egyetem ,0.9075646219145868
19753,Budapest Főváros Xviii. Kerület Pestszentlőrincpestszentimre Önkormányzata Egyesített Szociális Intézmény ,Budapest Főváros Xviii. Kerület Pestszentlőrincpestszentimre Önkormányzata ,0.8432450846416917
19766,Budapest Főváros Xviii. Kerület Pestszentlőrincpestszentimre Önkormányzata Egyesített Óvoda ,Budapest Főváros Xviii. Kerület Pestszentlőrincpestszentimre Önkormányzata ,0.8952689035434908
20457,Magyar Posta Vagyonkezelő Zrt.,Magyar Posta Zrt.,0.8533929100308351
20577,Szombathely Megyei Jogú Város Közterületfelügyelet ,Szombathely Megyei Jogú Város Önkormányzata ,0.8062112970525208
20579,Berzsenyi Dániel Megyei És Városi Könyvtár ,Berzsenyi Dániel Megyei Hatókörű Városi Könyvtár ,0.8518837306633066
21810,Budapest Főváros Xiii. Kerületi Polgármesteri Hivatal ,Budapest Főváros Xiii. Kerületi Önkormányzat ,0.8137549288818633
21836,Budapesti Temetkezési Intézet Nonprofit Zrt.,Budapesti Temetkezési Intézet Zrt.,0.9618837172227911
22496,D.U.S Kft.,B K Kft.,1.0
23572,Szent Mór Bencés Perjelség ,Magyar Bencés Kongregáció Szent Mór Perjelség ,0.8405609518065
23867,József Attila Megyei És Városi Könyvtár ,József Attila Városi Könyvtár És Múzeum ,0.8627787078589905
24011,Nyírbogát Város Önkormányzata ,Nyírbogát Nagyközség Önkormányzata ,0.8033283715603823
25121,Hódmezővásárhely Megyei Jogú Város Önkormányzat Egyesített Óvoda ,Hódmezővásárhely Megyei Jogú Város Önkormányzata ,0.8056459163216926
26444,Magyar Tudományos Akadémia Wigner Fizikai Kutatóközpont ,Wigner Fizikai Kutatóközpont ,0.7993020804502367
26912,Kiskunlacháza Város Önkormányzata ,Kiskunlacháza Nagyközség Önkormányzata ,0.8033283715603823
28487,Nemzeti Sportügynökség Nonprofit Zrt.,Nemzeti Sportügynökség Nonprofit Kft.,0.9124115956945709
29091,Fejér Megyei Önkormányzatok Víz És Csatornamű Zrt.,Fejérvíz Fejér Megyei Önkormányzatok Víz És Csatornamű Zrt.,0.8680592921304756
29493,"Veszprém Megyei Gyermekvédelmi Központ, Általános Iskola, Szakiskola, Készségfejlesztő Iskola ","Veszprém Megyei Gyermekvédelmi Központ, Általános Iskola, Szakiskola, Készségfejlesztő Iskola És Területi Gyermekvédelmi Szakszolgálat ",0.8912646652780866
29495,Szabolcsszatmárbereg Megyei Harmónia Egyesített Szociális Intézmény ,Szabolcsszatmárbereg Megyei Harmónia Egyesített Szociális Intézet ,0.8595879297902685
