Unique ID,Original Value,New Value,Similarity Score
326,Strabag Építő Kft.,Strabag Általános Építő Kft.,0.8000968446115804
595,Ms Zrt.,Ms Informatikai Zrt.,0.8743000552466836
603,Pc Trade Systems Kft.,Pc Trade Systems Informatikai Kft.,0.9184166683809952
608,Szintézis Zrt.,Szintézis Informatikai Zrt.,0.8821026457716867
770,Greiner Bioone Hungary Műanyagtechnika Kft.,Greiner Bioone Hungary Kft.,0.8336825754875213
1836,Duna Aszfalt Út És Mélyépítő Zrt.,Duna Aszfalt Út És Mélyépítő Kft.,0.9644464031785174
2016,Euroaszfalt Kft.,Euroaszfalt Építő És Kft.,0.8726625568165952
2764,Széles Út Hungária Kft.,Széles Út Építőipari És Kft.,0.84091749962265
2986,Bluemed Kft.,Bluemed Plusz Kft.,0.8320680097893989
3099,Biolab Diagnosztikai Laboratórium Zrt.,Biolab Diagnosztikai Zrt.,0.826347943705707
3957,Bokútterv Mérnöki És Vállalkozó Korlátolt Felelősségű Társa ,Bokútterv Mérnöki És Vállalkozó Kft.,0.8032327780939514
4106,"Fresenius Kabi Hungary Vegy, Gyógyszeripari És Kft.","Fresenius Kabi Hungary Vegy, Gyógyszeripari És Korlátolt Felelősséű Társaságkft ",0.807255967281195
4608,Libra Szoftver Zrt.,Libra Szoftver Fejlesztő Zrt.,0.9176818199567665
5039,Wolters Kluwer Hungary Kft.,Wolters Kluwer Kft.,0.9411537454351202
5071,Premier G. Med Capital Kft.,Premier G. Med Kft.,0.8004144630944312
6104,K.F. Építőipari Kft.,O És R Építőipari Kft.,0.8374514943832666
6546,Dr. Juhász István ,Dr. Juhász István EV,0.931116311266598
6640,"Bodrogi Bau Kivitelező, Tervező, Kereskedő És ","Bodrogi Bau Kivitelező, Tervező, Kereskedő És Kft.",0.996133130384374
7132,K.F.Zs Kft.,T.P.Zs Kft.,1.0
7414,Kermann Műszaki Fejlesztő És Tanácsadó Zrt.,Kermann Műszaki Fejlesztő És Tanácsadó Kft.,0.956649620900627
7863,"Szentinel Vagyonvédelmi, Biztonságtechnikai Kft.",Szentinel Vagyonvédelmi Biztonságtechnikai Kft.,0.9999999999999999
8134,Atl Ipari És Zrt.,Atl Ipari És Kft.,0.9369438878680697
8149,Szabó Tamás EV,Szabó Tamás ,0.9088798373565442
9141,Img Solution Zrt.,Img Solution Kft.,0.9433672593012158
9236,G.B.T.I Kft.,B K Kft.,1.0
9309,Cliniserve Invest Kft.,Cliniserve Kft.,0.8307485788565051
9937,Allied Solutions Cee Kft.,Allied Water Solutions Cee Kft.,0.8554366750335839
9990,Number One Cleaning Takaritó És Kft.,Number One Cleaning Takaritó És Korlátolt Felellőségű Társaság ,0.8348047842002474
11402,Enco Software Zrt.,Enco Software Kft.,0.9501544365010908
11717,Allegro Kft.,"Allegro , Kivitelező És Kft.",0.8563616234490113
12228,Bitép Építőipari És Kft.,Bitép Generál Építőipari És Kft.,0.8370794652349376
12318,Biotech Hungary Kft.,"Biotech Hungary , És Tanácsadó Kft.",0.8966474837976391
12322,Vwr Kft.,Vwr International Kft.,0.8182895671434848
12417,Bovimex I Kft.,Bovimex Kft.,1.0000000000000002
12477,Zenon Bio Biotechnológia Kft.,Zenon Bio Kft.,0.805757043299127
12570,Feszültség Termelő És Kereskedő Korlátolt Felelőségű Társaság ,Feszültség Termelő És Kereskedő Kft.,0.8191122625810837
12630,Biomedica Hungaria Kft.,Biomedica Hungaria Orvostechnikai Kft.,0.8288801708752928
12700,Pearl Enterprises Ipari Kft.,Pearl Enterprises Kft.,0.938804135377864
12768,Zs.E.B Kft.,T.P.Zs Kft.,1.0
12781,F K Kft.,B K Kft.,1.0
12872,Omv Hungária Ásványolaj Hatályos Kft.,Omv Hungária Ásványolaj Kft.,0.8286309391453162
12947,Balaton Busz Bt.,Balaton Busz Idegenforgalmi És Bt.,0.8303009373042873
13722,Univerz Biztonsági Tanácsadó Kft.,Univerz Biztonsági Kft.,0.9284785921032236
14115,Számhead Kft.,Számhead Számítástechnikai És Kft.,0.812189845507652
14123,St Services Kft.,St Services Hungary Kft.,0.9199064559680322
14127,Kermann Műszaki Fejlesztő Zrt.,Kermann Műszaki Fejlesztő És Tanácsadó Kft.,0.876970732915823
14129,Invigor Kft.,Invigor Informatika Kft.,0.8058980456805818
14130,Valkyr Kft.,Valkyr Informatikai Kft.,0.8739833333857402
14208,Humanoit Informatikai Kft.,Humanoit Kft.,0.8739833333857402
14210,Jtc Számítástechnikai Kft.,Jtc Kft.,0.8391885777599166
14296,Szinva Net Zrt.,Szinva Net Informatikai Zrt.,0.9266995307502348
14793,F F Kft.,B K Kft.,1.0
14910,Pécsi Geodéziai És Térképészeti Kft.,Geodéziai És Térképészeti Zrt.,0.8051125626640555
15963,Vodafone Magyarország Mobil Távközlési Zrt.,Vodafone Magyarország Távközlési Zrt.,0.865676424381233
16844,"Ásatárs Kulturális, Régészeti Korlátolt Felelősség ","Ásatárs Kulturális, Régészeti Kft.",0.815345219754239
