buyer_activity,contract_type,buyer_type,quality_criteria,Subnetwork_ID,Subgraph_ID,Node_ID,Winner_or_Buyer,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Medibau Építőipari Kivitelező Kft.,Winner,0.0013956734124214933,0.0020409194515080766,0.12861630516080777,0.00015471909597759373
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Kerekharaszt Község Önkormányzata ,Buyer,0.00023261223540358222,0.0,0.11396230416456804,1.6467121358551948e-05
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Jászmetál 2000 Fémipari Kft.,Winner,0.0013956734124214933,0.00170731840034867,0.1378989574979952,0.0004926114219518464
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Jánoshida Községi Önkormányzat ,Buyer,0.0011630611770179111,0.0017818184780136982,0.15062541606811253,0.0011758887029683347
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Dgesztor Építő És Acélszerkezet Gyártó Kft.,Winner,0.006047918120493137,0.011272411868768848,0.15199943428914897,0.004310147939936991
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Sajólád Község Önkormányzata ,Buyer,0.00046522447080716444,0.00046522447080716444,0.13195616808373492,0.0004634858186785594
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Karakter 95 Építő És Szakipari Kft.,Winner,0.00209351011863224,0.003214478683819297,0.16915207554593745,0.009355495818468996
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Tiszaújváros Város Önkormányzata ,Buyer,0.0011630611770179111,0.00286547812043306,0.16578612471559137,0.003839935895706253
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Skb Kolrátolt Felelősségű Társaság ,Winner,0.00023261223540358222,0.0,0.134507681236507,0.0002761781907234242
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Csomád Község Önkormányzata ,Buyer,0.0009304489416143289,0.0011278962108515992,0.15540613816288906,0.002597963807458625
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Előregyártószerelő És Építőipari Fővállalkozó Kft.,Winner,0.0009304489416143289,0.0029380247866868736,0.14477184711230848,0.0006556692868333092
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Kiskunfélegyháza Város Önkormányzata ,Buyer,0.00209351011863224,0.006921976140070447,0.16723071536935466,0.005157596398025243
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Kemeverb Kft.,Winner,0.00023261223540358222,0.0,0.11870116243752933,2.8185716832443893e-05
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Kemecse Város Önkormányzata ,Buyer,0.0006978367062107466,0.0009303406995317772,0.13468467057238634,0.00026513692124591285
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,Cash Contact Company Zrt.,Winner,0.0006978367062107466,0.0013952404440912866,0.12469182353453026,0.00012817169748070294
